id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
31|धीमे चल (Slow March) में एक कदम की लंबाई कितनी होती है?|12 इंच|21 इंच|30 इंच|36 इंच|30 इंच|AEC-4_P1_TP.1.1|30
32|दौड़ के चल (Double March) में एक कदम की दूरी कितनी होती है?|30 इंच|36 इंच|40 इंच|45 इंच|40 इंच|AEC-4_P1_TP.1.1|30
33|लम्बा कदम (Long Pace) लेते समय कदम की दूरी कितनी हो जाती है?|30 इंच|33 इंच|36 इंच|40 इंच|36 इंच|AEC-4_P1_TP.1.1|30
34|छोटा कदम (Short Pace) लेते समय कदम की दूरी कितनी होती है?|12 इंच|15 इंच|21 इंच|24 इंच|21 इंच|AEC-4_P1_TP.1.1|30
35|मार्चिंग के दौरान "थंब" (Halt) का वर्ड ऑफ कमांड हमेशा किस पैर पर दिया जाता है?|बाएं पैर पर|दाहिने पैर पर|किसी भी पैर पर|दोनों पैरों के मिलने पर|बाएं पैर पर|AEC-4_P1_TP.1.1|30
36|सैल्यूट (Salute) मुख्य रूप से कितने प्रकार से दिया जाता है?|एक|दो|तीन (सामने, दाहिने, बायें)|चार|तीन (सामने, दाहिने, बायें)|AEC-4_P1_TP.1.1|30
37|मार्च करते समय सैल्यूट का आदेश हमेशा किस पैर पर दिया जाता है?|बाएं पैर पर|दाहिने पैर पर|किसी भी पैर पर|हाथ हिलाते समय|बाएं पैर पर|AEC-4_P1_TP.1.1|30
38|सैल्यूट करते समय दाहिने हाथ की उंगलियां कैसी होनी चाहिए?|मुड़ी हुई|आपस में सीधी और सटी हुई|खुली हुई|केवल अंगूठा बाहर|आपस में सीधी और सटी हुई|AEC-4_P1_TP.1.1|30
39|सैल्यूट करते समय तर्जनी उंगली (Index Finger) का सिरा कहाँ होना चाहिए?|दाहिनी भौंह (Right Eyebrow) या हैट के कोने पर|माथे के बीच में|कान के पास|आंख के ऊपर|दाहिनी भौंह (Right Eyebrow) या हैट के कोने पर|AEC-4_P1_TP.1.1|30
40|विसर्जन (Dismiss) का वर्ड ऑफ COMMAND किस स्थिति में दिया जाता है?|परेड की पूर्ण समाप्ति पर|अल्पविराम (Break) के लिए|प्रारंभ में|अभ्यास के बीच में|परेड की पूर्ण समाप्ति पर|AEC-4_P1_TP.1.1|30
41|लाइन तोड़ (Fall Out) का वर्ड ऑफ COMMAND किसलिए दिया जाता है?|परेड समाप्त करने हेतु|कुछ समय के विश्राम या ब्रेक के लिए|घर जाने के लिए|भागने के लिए|कुछ समय के विश्राम या ब्रेक के लिए|AEC-4_P1_TP.1.1|30
42|विसर्जन और लाइन तोड़ के बाद कैडेट्स किस तरफ मुड़कर कदम आगे बढ़ाते हैं?|बाईं ओर|दाहिनी ओर|पीछे|सामने|दाहिनी ओर|AEC-4_P1_TP.1.1|30
43|खुला लाइन चल (Open Order March) में आगे और पीछे की लाइनें कितना कदम चलती हैं?|एक कदम|डेढ़ (1½) कदम|दो कदम|तीन कदम|डेढ़ (1½) कदम|AEC-4_P1_TP.1.1|30
44|निकट लाइन चल (Close Order March) में कितनी दूरी तय की जाती है?|1 कदम|1½ कदम|2 कदम|2½ कदम|1½ कदम|AEC-4_P1_TP.1.1|30
45|खुला लाइन चल के बाद अग्रिम लाइन और पिछली लाइन के बीच कुल कितना फासला हो जाता है?|45 इंच|75 इंच|90 इंच|120 इंच|75 इंच|AEC-4_P1_TP.1.1|30
46|ड्रिल की सबसे बुनियादी और पहली हरकत कौन सी सिखाई जाती है?|सावधान|विश्राम|तेज चल|सैल्यूट|सावधान|AEC-4_P1_TP.1.1|30
47|ड्रिल के दौरान निम्नलिखित में से कौन सी एक आम खराबी (Bad Habit) मानी जाती है?|पैर घसीट कर चलना|निगाहें सामने रखना|मुट्ठी बंद रखना|गर्दन सीधी रखना|पैर घसीट कर चलना|AEC-4_P1_TP.1.1|30
48|परेड पर वीआईपी (VIP) को सलामी देने के लिए कौन सा शस्त्र सैल्यूट दिया जाता है?|राष्ट्रीय सलामी या जनरल सलामी|केवल सावधान|झुककर सलामी|दौड़कर सलामी|राष्ट्रीय सलामी या जनरल सलामी|AEC-4_P1_TP.1.1|30
49|स्क्वाड (Squad) को दो पंक्तियों से तीन पंक्तियों में करने के लिए कौन सी कार्यवाही की जाती है?|गिनती कर और फॉर्म अप|लाइन तोड़|विसर्जन|तेज चल|गिनती कर और फॉर्म अप|AEC-4_P1_TP.1.1|30
50|ड्रिल में "दृष्टि" (Gaze) हमेशा कहाँ होनी चाहिए?|अपने जूतों पर|सामने की ओर आंख की सीध में|आसमान में|जमीन पर|सामने की ओर आंख की सीध में|AEC-4_P1_TP.1.1|30
