id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
14|निम्नलिखित में से कौन सा घटक राष्ट्रीय एकता को मजबूत करता है?|सहिष्णुता और भाईचारा|सांप्रदायिकता|भाषावाद|जातिगत भेदभाव|सहिष्णुता और भाईचारा|AEC-4_U2_T2.1|30
15|राष्ट्रीय एकता के अभाव में किसी देश को क्या नुकसान हो सकता है?|आंतरिक अशांति और बाहरी आक्रमण का खतरा|तीव्र आर्थिक विकास|अंतरराष्ट्रीय स्तर पर सम्मान|सशक्त प्रशासनिक व्यवस्था|आंतरिक अशांति और बाहरी आक्रमण का खतरा|AEC-4_U2_T2.1|30
16|एनसीसी कैडेटों के लिए राष्ट्रीय एकता शिविर (NIC) का मुख्य उद्देश्य क्या है?|सांस्कृतिक आदान-प्रदान और राष्ट्रीय एकता बढ़ाना|केवल खेलकूद प्रतियोगिता|ड्राइविंग प्रशिक्षण|राजनीतिक प्रचार|सांस्कृतिक आदान-प्रदान और राष्ट्रीय एकता बढ़ाना|AEC-4_U1_T1.4|30
17|एक भारत श्रेष्ठ भारत (EBSB) कार्यक्रम का प्राथमिक लक्ष्य क्या है?|विभिन्न राज्यों की संस्कृति और परंपराओं से एकता को बढ़ावा देना|केवल अंग्रेजी भाषा सीखना|विदेशी व्यापार को बढ़ावा देना|सैनिकों की भर्ती करना|विभिन्न राज्यों की संस्कृति और परंपराओं से एकता को बढ़ावा देना|AEC-4_U2_T2.1|30
18|सांप्रदायिक सौहार्द (Communal Harmony) से क्या तात्पर्य है?|सभी धर्मों का आपस में सम्मान और शांतिपूर्वक सहअस्तित्व|केवल अपने धर्म को श्रेष्ठ मानना|धार्मिक आधार पर पृथक्करण|धार्मिक कट्टरता|सभी धर्मों का आपस में सम्मान और शांतिपूर्वक सहअस्तित्व|AEC-4_U2_T2.1|30
19|भारत में राष्ट्रीय एकता के निर्माण में किसकी भूमिका सबसे महत्वपूर्ण मानी जाती है?|युवा वर्ग और छात्र|केवल राजनीतिक दल|विदेशी संस्थाएँ|केवल व्यापारी वर्ग|युवा वर्ग और छात्र|AEC-4_U2_T2.1|30
20|राष्ट्रीय एकीकरण में शिक्षा का क्या योगदान है?|संवैधानिक मूल्यों और नागरिक कर्तव्यों का बोध कराना|अंधविश्वास को बढ़ावा देना|क्षेत्रीयता को बढ़ावा देना|केवल नौकरियों की तलाश करना|संवैधानिक मूल्यों और नागरिक कर्तव्यों का बोध कराना|AEC-4_U2_T2.1|30
21|सांस्कृतिक एकीकरण से समाज में क्या सुधार होता है?|विभिन्न संस्कृतियों के प्रति सम्मान और स्वीकृति|संस्कृति का विनाश|प्रांतीयता की भावना|केवल एक भाषा का वर्चस्व|विभिन्न संस्कृतियों के प्रति सम्मान और स्वीकृति|AEC-4_U2_T2.1|30
22|भारत को एक अखंड राष्ट्र बनाए रखने के लिए कौन सी अवधारणा आवश्यक है?|वसुधैव कुटुंबकम और धर्मनिरपेक्षता|विभाजनवादी सोच|उग्र क्षेत्रवाद|सामंतवाद|वसुधैव कुटुंबकम और धर्मनिरपेक्षता|AEC-4_U2_T2.1|30
23|राष्ट्रीय भावना को सुदृढ़ करने के लिए स्वतंत्रता सेनानियों के योगदान को याद रखना क्यों आवश्यक है?|राष्ट्रीय स्वाभिमान और देशभक्ति जागृत करने के लिए|केवल इतिहास परीक्षा पास करने के लिए|छुट्टी मनाने के लिए|समारोह आयोजित करने के लिए|राष्ट्रीय स्वाभिमान और देशभक्ति जागृत करने के लिए|AEC-4_U2_T2.1|30
24|राष्ट्रीय एकता किस प्रकार के विकास का मार्ग प्रशस्त करती है?|आर्थिक, सामाजिक और राजनैतिक स्थिरता|केवल व्यक्तिगत आर्थिक लाभ|सैन्य शासन का प्रसार|विदेशी नियंत्रण|आर्थिक, सामाजिक और राजनैतिक स्थिरता|AEC-4_U2_T2.1|30
25|भारत का संविधान सभी नागरिकों को किस आधार पर समानता का अधिकार देता है?|अनुच्छेद 14 से 18 के तहत कानून के समक्ष समानता|केवल धन के आधार पर|केवल निवास स्थान के आधार पर|शिक्षा के स्तर पर|अनुच्छेद 14 से 18 के तहत कानून के समक्ष समानता|AEC-4_U2_T2.1|30
26|देश के प्रत्येक नागरिक द्वारा राष्ट्रीय कर्तव्यों का पालन करना राष्ट्रीय एकता में कैसे सहायक है?|यह अनुशासन और नागरिक चेतना का विकास करता है|यह सरकार पर बोझ बढ़ाता है|यह विविधता को समाप्त करता है|इसका कोई सीधा संबंध नहीं है|यह अनुशासन और नागरिक चेतना का विकास करता है|AEC-4_U2_T2.1|30
27|त्रि-भाषा सूत्र (Three Language Formula) का एक उद्देश्य क्या है?|विभिन्न भाषाई क्षेत्रों के बीच भाषाई समन्वय और एकता|क्षेत्रीय भाषाओं को समाप्त करना|केवल विदेशी भाषाओं को बढ़ावा देना|अंग्रेजी को एकमात्र भाषा बनाना|विभिन्न भाषाई क्षेत्रों के बीच भाषाई समन्वय और एकता|AEC-4_U2_T2.1|30
28|राष्ट्रीय सुरक्षा परिषद (NSC) और सशस्त्र बल राष्ट्रीय एकता को कैसे बनाए रखते हैं?|देश की सीमाओं की रक्षा और आंतरिक सुरक्षा सुनिश्चित करके|राजनीति में भाग लेकर|केवल विदेशी दौरे करके|व्यापारिक नीतियां बनाकर|देश की सीमाओं की रक्षा और आंतरिक सुरक्षा सुनिश्चित करके|AEC-4_U2_T2.1|30
29|राष्ट्रीय एकीकरण की प्रक्रिया में संचार माध्यमों (Media) का सकारात्मक दायित्व क्या है?|सत्य, सौहार्द और राष्ट्रीय गौरव का प्रचार करना|भड़काऊ और भ्रामक खबरें फैलाना|केवल मनोरंजक सामग्री दिखाना|विभाजनकारी विचारों का समर्थन करना|सत्य, सौहार्द और राष्ट्रीय गौरव का प्रचार करना|AEC-4_U2_T2.1|30
30|राष्ट्रीय एकता के बिना किसी भी लोकतंत्र पर क्या प्रभाव पड़ता है?|लोकतंत्र कमजोर और विफल हो सकता है|लोकतंत्र अत्यधिक मजबूत हो जाता है|शासन प्रणाली में कोई बदलाव नहीं होता|विदेशी निवेश दोगुना हो जाता है|लोकतंत्र कमजोर और विफल हो सकता है|AEC-4_U2_T2.1|30
31|भारतीय संविधान के किस भाग में 'मौलिक कर्तव्य' का उल्लेख है जो राष्ट्रीय एकता का संदेश देता है?|भाग IV-A (अनुच्छेद 51A)|भाग I|भाग III|भाग VI|भाग IV-A (अनुच्छेद 51A)|AEC-4_U2_T2.1|30
32|अनुच्छेद 51A(c) के अनुसार भारत के प्रत्येक नागरिक का क्या कर्तव्य है?|भारत की प्रभुता, एकता और अखंडता की रक्षा करे|केवल करों का भुगतान करे|केवल यात्रा करे|सैनिक सेवा अनिवार्य रूप से करे|भारत की प्रभुता, एकता और अखंडता की रक्षा करे|AEC-4_U2_T2.1|30
33|राष्ट्रीय एकता को मजबूत करने में स्काउट्स एंड गाइड्स की क्या भूमिका है?|सेवा, भ्रातृत्व और चरित्र निर्माण की शिक्षा देना|व्यापारिक प्रशिक्षण देना|राजनीतिक रैलियाँ करना|केवल प्रतियोगिताएँ आयोजित करना|सेवा, भ्रातृत्व और चरित्र निर्माण की शिक्षा देना|AEC-4_U2_T2.1|30
34|सामुदायिक विकास कार्यक्रमों से राष्ट्रीय एकता कैसे बढ़ती है?|लोग आपसी मतभेद मिटाकर एक साथ मिलकर काम करते हैं|व्यक्तिगत लाभ बढ़ता है|गांवों का अलगाव बढ़ता है|शहरों की आबादी घटती है|लोग आपसी मतभेद मिटाकर एक साथ मिलकर काम करते हैं|AEC-4_U2_T2.1|30
35|राष्ट्रीय एकता को बनाए रखने में धर्मनिरपेक्षता (Secularism) का क्या योगदान है?|राज्य सभी धर्मों के साथ समान व्यवहार करता है|राज्य एक विशेष धर्म को बढ़ावा देता है|नागरिकों को धार्मिक स्वतंत्रता नहीं होती|धार्मिक त्योहारों पर प्रतिबंध होता है|राज्य सभी धर्मों के साथ समान व्यवहार करता है|AEC-4_U2_T2.1|30
36|आपदा प्रबंधन के समय जब पूरा देश एक साथ खड़ा होता है, तो यह किस भावना का उदाहरण है?|राष्ट्रीय एकता और संप्रभुता|आर्थिक मजबूरी|विदेशी दबाव|राजनीतिक इच्छाशक्ति|राष्ट्रीय एकता और संप्रभुता|AEC-4_U2_T2.1|30
37|राष्ट्रीय खेल आयोजनों (National Games) का राष्ट्रीय एकता में क्या महत्व है?|विभिन्न राज्यों के खिलाड़ी एक मंच पर आकर भाईचारा बढ़ाते हैं|केवल पदक जीतने का जरिया हैं|व्यवसायिक गतिविधियों को बढ़ावा देना|केवल मनोरंजन का साधन हैं|विभिन्न राज्यों के खिलाड़ी एक मंच पर आकर भाईचारा बढ़ाते हैं|AEC-4_U2_T2.1|30
38|भारत में राष्ट्रीय एकीकरण की आवश्यकता स्वतंत्रता के तुरंत बाद क्यों महसूस की गई?|रियासतों के एकीकरण और भाषाई पुनर्गठन के कारण|अंग्रेजी शासन को वापस लाने के लिए|विदेशी व्यापार बंद करने के लिए|केवल नई मुद्रा छापने के लिए|रियासतों के एकीकरण और भाषाई पुनर्गठन के कारण|AEC-4_U2_T2.1|30
39|राष्ट्रीय एकता की भावना से देशवासियों में कौन सा मनोबल बढ़ता है?|सामूहिक आत्मविश्वास और देशभक्ति|डर और असुरक्षा|व्यक्तिगत स्वार्थ|आलस्य|सामूहिक आत्मविश्वास और देशभक्ति|AEC-4_U2_T2.1|30
40|भारत का राष्ट्रीय ध्वज 'तिरंगा' किस बात का प्रतीक है?|देश की प्रभुता, अखंडता और विविधता में एकता|केवल तीन रंगों का सुंदर संयोजन|सैनिक शक्ति का|व्यापारिक पहचान का|देश की प्रभुता, अखंडता और विविधता में एकता|AEC-4_U2_T2.1|30
41|समान नागरिक संहिता (Uniform Civil Code) पर चर्चा का मुख्य उद्देश्य क्या माना जाता है?|सभी नागरिकों के लिए एक समान कानून से एकता लाना|सांस्कृतिक विविधताओं को समाप्त करना|धार्मिक संस्थानों को बंद करना|विदेशी कानूनों को लागू करना|सभी नागरिकों के लिए एक समान कानून से एकता लाना|AEC-4_U2_T2.1|30
42|राष्ट्रीय एकीकरण में अंतर-राज्यीय व्यापार और आवाजाही (Inter-State Trade and Movement) की क्या भूमिका है?|आर्थिक निर्भरता और लोगों का आपसी संपर्क बढ़ता है|राज्यों के बीच संघर्ष बढ़ता है|परिवहन की लागत बढ़ती है|केवल भ्रष्टाचार बढ़ता है|आर्थिक निर्भरता और लोगों का आपसी संपर्क बढ़ता है|AEC-4_U2_T2.1|30
43|राष्ट्रीय एकता को बढ़ावा देने के लिए विद्यालयों में कौन सी गतिविधि सर्वाधिक उपयुक्त है?|सांस्कृतिक विविधता पर आधारित समूह प्रस्तुतियाँ और शिविर|अलग-अलग जातियों के लिए अलग कक्षाएँ|केवल सैद्धांतिक पाठ्यक्रम पढ़ाना|स्थानीय भाषा पर ही जोर देना|सांस्कृतिक विविधता पर आधारित समूह प्रस्तुतियाँ और शिविर|AEC-4_U2_T2.1|30
44|राष्ट्रीय गान 'जन गण मन' के रचयिता कौन हैं जो भारत की भौगोलिक और सांस्कृतिक एकता को दर्शाते हैं?|रवींद्रनाथ टैगोर|बंकिम चंद्र चटर्जी|सुब्रमण्यम भारती|सरोजिनी नायडू|रवींद्रनाथ टैगोर|AEC-4_U2_T2.1|30
45|राष्ट्रीय गीत 'वंदे मातरम' का मुख्य संदेश क्या है?|मातृभूमि के प्रति भक्ति और समर्पण|युद्ध की घोषणा|व्यापारिक समृद्धि|एक क्षेत्र विशेष की प्रशंसा|मातृभूमि के प्रति भक्ति और समर्पण|AEC-4_U2_T2.1|30
46|सहिष्णुता (Tolerance) का गुण राष्ट्रीय एकता के लिए क्यों आवश्यक है?|यह विभिन्न विचारों और आस्थाओं को स्वीकार करने में मदद करता है|यह विरोध की भावना जगाता है|यह स्वार्थ को बढ़ावा देता है|यह सामाजिक पतन लाता है|यह विभिन्न विचारों और आस्थाओं को स्वीकार करने में मदद करता है|AEC-4_U2_T2.1|30
47|राष्ट्रीय एकता को प्रभावित करने वाले नकारात्मक कारकों को दूर करने का सर्वोत्तम उपाय क्या है?|सकारात्मक शिक्षा, जागरूकता और न्यायपूर्ण शासन|सख्त सैन्य बल का प्रयोग|इतिहास को भुला देना|क्षेत्रीय सीमाओं को बंद करना|सकारात्मक शिक्षा, जागरूकता और न्यायपूर्ण शासन|AEC-4_U2_T2.1|30
48|भारत सरकार द्वारा चलाए जा रहे 'एक भारत श्रेष्ठ भारत' अभियान के तहत राज्यों को क्या किया जाता है?|दो या अधिक राज्यों को आपस में जोड़ी (Pairing) बनाकर जोड़ा जाता है|राज्यों की सीमाएं बदली जाती हैं|राज्यों का विलय किया जाता है|केवल बजट आवंटित किया जाता है|दो या अधिक राज्यों को आपस में जोड़ी (Pairing) बनाकर जोड़ा जाता है|AEC-4_U2_T2.1|30
49|राष्ट्रीय एकता की आवश्यकता केवल शांति काल में ही नहीं बल्कि किस समय और अधिक बढ़ जाती है?|युद्ध, महामारी और प्राकृतिक आपदाओं के समय|केवल चुनावों के दौरान|केवल त्योहारों पर|केवल बजट सत्र के दौरान|युद्ध, महामारी और प्राकृतिक आपदाओं के समय|AEC-4_U2_T2.1|30
50|राष्ट्रीय एकता का अंतिम लक्ष्य क्या है?|एक मजबूत, सुरक्षित, समृद्ध और एकजुट भारत का निर्माण करना|केवल अंतरराष्ट्रीय संधियों पर हस्ताक्षर करना|सैन्य शक्ति में पहला स्थान पाना|केवल विदेशी तकनीकों को अपनाना|एक मजबूत, सुरक्षित, समृद्ध और एकजुट भारत का निर्माण करना|AEC-4_U2_T2.1|30
