id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
19|شاد کی غزل میں "ایجاز و اختصار" کا فنی کمال کیا ہے؟|کم سے کم الفاظ میں گہرا فلسفیانہ مضمون ادا کرنا|طویل کہانیاں سنانا|الفاظ کا ضیاع کرنا|شعر ادھورا چھوڑنا|کم سے کم الفاظ میں گہرا فلسفیانہ مضمون ادا کرنا|MIC-4_U3_T3.2.3|30
20|شاد عظیم آبادی کو "شمس العلماء" یا "خان بہادر" کے علاوہ کس ادبی حیثیت سے یاد کیا جاتا ہے؟|دبستانِ عظیم آباد کے شاہسوار اور آبرو|صرف مرثیہ گو|صرف ڈراما نگار|صرف سوانح نگار|دبستانِ عظیم آباد کے شاہسوار اور آبرو|MIC-4_U3_T3.2.3|30
21|شاد کی شاعری میں "واقعیت پسندی" کس روپ میں نظر آتی ہے؟|زندگی کے سچے تجربات اور انسانی رویوں کے بیان میں|فرضی داستانوں کی تکرار میں|جادو نگری کے ذکر میں|صرف خوابوں میں|زندگی کے سچے تجربات اور انسانی رویوں کے بیان میں|MIC-4_U3_T3.2.3|30
22|شاد کی غزلوں کے مجموعے "نغمۂ الہام" کا بنیادی تاثر کیا ہے؟|فکری شادابی، روحانی تسکین اور جمالیاتی پاکیزگی|سختی اور خشکی|قنوطیت اور تاریکی|صرف تفریح|فکری شادابی، روحانی تسکین اور جمالیاتی پاکیزگی|MIC-4_U3_T3.2.3|30
23|شاد کے کلام کی وہ کون سی خصوصیت ہے جو قاری کو فوراً اپنی طرف متوجہ کرتی ہے؟|برجستگی اور سہلِ ممتنع کا انداز|مشکل اور معمہ نما ساخت|غیر مربوط قافیے|تکرارِ لفظی کی خرابی|برجستگی اور سہلِ ممتنع کا انداز|MIC-4_U3_T3.2.3|30
24|شاد عظیم آبادی نے اپنے کلام میں کس صوفیانہ خیال کو انفرادی انداز دیا؟|خودی اور عرفانِ حق کا ارتباط|دنیا سے مکمل فرار|مادیت کی پرستش|سیاسی اقتدار کی طلب|خودی اور عرفانِ حق کا ارتباط|MIC-4_U3_T3.2.3|30
25|شاد کی غزل گوئی میں "نشاطیہ" اور "حسرتیہ" عناصر کا توازن کیسا ہے؟|دونوں کا متوازن اور دلنشین امتزاج ہے|صرف شدید ماتم ہے|صرف بے جا ہنسی ہے|کوئی توازن نہیں ہے|دونوں کا متوازن اور دلنشین امتزاج ہے|MIC-4_U3_T3.2.3|30
26|شاد کی غزل میں "زندگی" کو کس حیثیت میں پیش کیا گیا ہے؟|ایک مسلسل جستجو اور معما کے طور پر|ایک فضول کام کے طور پر|ایک طے شدہ کھیل کے طور پر|صرف عذاب کے طور پر|ایک مسلسل جستجو اور معما کے طور پر|MIC-4_U3_T3.2.3|30
27|شاد کی غزل کے قوافی کی ترتیب کی کیا خوبی ہے؟|معنوی ربط اور نغمگی میں اضافہ کرنے والے قوافی|صرف تک بندی کے لیے لائے گئے قوافی|غیر فصیح قوافی|بے ربط قوافی|معنوی ربط اور نغمگی میں اضافہ کرنے والے قوافی|MIC-4_U3_T3.2.3|30
28|شاد عظیم آبادی کے ہاں "صنعتی بناوٹ" کے بجائے کس چیز کو اہمیت دی گئی؟|جذبے کی صداقت اور فکری خلوص کو|الفاظ کی بازی گری کو|قافیہ پیمائی کو|غیر ملکی الفاظ کی نمائش کو|جذبے کی صداقت اور فکری خلوص کو|MIC-4_U3_T3.2.3|30
29|شاد کی انفرادیت کس بات میں ہے کہ انہوں نے اپنے دور کے اثرات کو غزل میں کیسے سمویا؟|علی گڑھ تحریک کے جدید اور معقولاتی شعور کو غزل کا رنگ دیا|جدیدیت کو مسترد کر دیا|قدیم ایہام کی طرف لوٹ گئے|صرف انگریزی کی نقل کی|علی گڑھ تحریک کے جدید اور معقولاتی شعور کو غزل کا رنگ دیا|MIC-4_U3_T3.2.3|30
30|شاد کی غزلوں میں "تمثیل نگاری" کا اسلوب کیسا ہے؟|سادہ، دلکش اور فکر کو بیدار کرنے والا|پیچیدہ اور بوجھل|بے معنی|صرف بچوں کے لیے|سادہ، دلکش اور فکر کو بیدار کرنے والا|MIC-4_U3_T3.2.3|30
31|شاد عظیم آبادی نے "مقطع" کا استعمال اپنی انفرادیت دکھانے کے لیے کیسے کیا؟|تلاشِ ذات اور شاعرانہ عجز کا خوبصورت بیان کر کے|تکبر کا اظہار کر کے|دشمن کو بددعا دے کر|بے معنی بات لکھ کر|تلاشِ ذات اور شاعرانہ عجز کا خوبصورت بیان کر کے|MIC-4_U3_T3.2.3|30
32|شاد کے اشعار کا مجموعی تاثر قاری پر کیا ہوتا ہے؟|فکری تفکر، قلبی سکون اور خود شناسی|شدید غصہ|بیزاری|خوف و دہشت|فکری تفکر، قلبی سکون اور خود شناسی|MIC-4_U3_T3.2.3|30
33|شاد کی غزل گوئی میں "عشق" کا تصور کس سے پاک ہے؟|ابتذال، عریانیت اور بازاری پن سے|جذبے سے|سچائی سے|جمالیات سے|ابتذال، عریانیت اور بازاری پن سے|MIC-4_U3_T3.2.3|30
34|شاد کی اسلوبیاتی انفرادیت کا ایک اہم عنصر "محاوراتی چاشنی" کس خطے کی دین ہے؟|بہار اور عظیم آباد کی شیریں زبان کی|دکن کی قدیم بول چال کی|پنجاب کے لہجے کی|انگریزی محاوروں کی|بہار اور عظیم آباد کی شیریں زبان کی|MIC-4_U3_T3.2.3|30
35|شاد نے اپنے دور کے کن نامور شعرا کے بالمقابل اپنی الگ شناخت بنائی؟|لکھنؤ اور دہلی کے روایتی غزل گو شعرا کے بالمقابل|کسی کے بالمقابل نہیں|صرف مغربی ادیبوں کے بالمقابل|صرف دکنی شعرا کے بالمقابل|لکھنؤ اور دہلی کے روایتی غزل گو شعرا کے بالمقابل|MIC-4_U3_T3.2.3|30
36|شاد کی غزل کا ہر شعر اپنی جگہ معنوی اعتبار سے کیسا ہے؟|ایک مستقل، باوقار اور کامل اکائی|ایک طویل کہانی کا جزو|ناقص تحریر|غیر مربوط فکر|ایک مستقل، باوقار اور کامل اکائی|MIC-4_U3_T3.2.3|30
37|شاد کے کلام میں "فلسفہِ حیات" کا انکشاف کس انداز میں ہوتا ہے؟|شائرانہ، لطیف اور عام فہم انداز میں|خشک فلسفیانہ کتابوں کی طرح|پیچیدہ منطقی اصطلاحات میں|غير فصیح الفاظ میں|شائرانہ، لطیف اور عام فہم انداز میں|MIC-4_U3_T3.2.3|30
38|شاد کی غزل کی نغمگی کس چیز کا نتیجہ ہے؟|الفاظ کے صوتی آہنگ اور بحور کے توازن کا|سخت حروف کا|طویل مصرعوں کا|قافیہ نہ ملانے کا|الفاظ کے صوتی آہنگ اور بحور کے توازن کا|MIC-4_U3_T3.2.3|30
39|شاد عظیم آبادی نے غزل کے علاوہ کن اصناف میں اپنی فنکارانہ صلاحیت دکھائی؟|مرثیہ، مثنوی، قصیدہ اور نثر میں|صرف آزاد نظم میں|صرف ناول میں|صرف ڈراما میں|مرثیہ، مثنوی، قصیدہ اور نثر میں|MIC-4_U3_T3.2.3|30
40|شاد کے ہاں "غمِ دوراں" اور "غمِ جاناں" کا کیا تعلق ہے؟|دونوں ایک دوسرے سے ہم آہنگ ہو کر انسان دوستی میں بدل جاتے ہیں|ایک دوسرے کے مخالف ہیں|غمِ جاناں بالکل نہیں ہے|صرف معاشی غم ہے|دونوں ایک دوسرے سے ہم آہنگ ہو کر انسان دوستی میں بدل جاتے ہیں|MIC-4_U3_T3.2.3|30
41|شاد کی غزل گوئی کا معنوی حسن کس چیز میں مضمر ہے؟|گہرے معانی کو سادگی کی چادر اڑھانے میں|مشکل الفاظ سے سادہ بات کہنے میں|صرف قافیہ ملانے میں|بے معنی باتیں کرنے میں|گہرے معانی کو سادگی کی چادر اڑھانے میں|MIC-4_U3_T3.2.3|30
42|شاد عظیم آبادی کے کلام میں کس بات کا شکوہ ملتا ہے؟|انسان کی بے خبری اور زندگی کے ضیاع کا|پیسے کی کمی کا|سفر کی دشواری کا|دشمن کی طاقت کا|انسان کی بے خبری اور زندگی کے ضیاع کا|MIC-4_U3_T3.2.3|30
43|شاد کی غزل میں "خود داری" اور "عزتِ نفس" کا انداز کیسا ہے؟|فقر کے باوجود قائم رہنے والا باوقار انداز|تکبرانہ انداز|بزدلانہ انداز|درباری التجا|فقر کے باوجود قائم رہنے والا باوقار انداز|MIC-4_U3_T3.2.3|30
44|شاد عظیم آبادی کی غزلوں نے بہار (پٹنہ) کو کس حیثیت سے تسلیم کرایا؟|اردو غزل کا ایک معتبر اور مستقل مرکز|ایک ثانوی مرکز|ایک ناکام خطہ|ایک عارضی جگہ|اردو غزل کا ایک معتبر اور مستقل مرکز|MIC-4_U3_T3.2.3|30
45|شاد نے اپنی غزلوں میں کس قسم کے استعاروں سے پرہیز کیا؟|دور از کار اور تاریک استعاروں سے|سادہ استعاروں سے|فطری تشبیہوں سے|جمالیاتی الفاظ سے|دور از کار اور تاریک استعاروں سے|MIC-4_U3_T3.2.3|30
46|شاد عظیم آبادی کے کلام کی سب سے بڑی طاقت کیا ہے؟|خلوص، بے ساختگی اور فکری گہرائی|مصنوعی سجاوٹ|درباری خوشامد|سیاسی نعرے|خلوص، بے ساختگی اور فکری گہرائی|MIC-4_U3_T3.2.3|30
47|شاد کی انفرادیت ان کے اساتذۂ سخن کی کس چیز کو آگے بڑھانے میں ہے؟|کلاسیکی اسلوب کی فصاحت اور روایت کو|ناسخ کی خشکی کو|ایہام گوئی کو|ریختی کو|کلاسیکی اسلوب کی فصاحت اور روایت کو|MIC-4_U3_T3.2.3|30
48|شاد کی غزل میں "حیرت" اور "استعجاب" کا رنگ کس چیز سے متعلق ہے؟|کائنات اور وجودِ انسانی کی حقیقتوں سے|صرف جادو سے|صرف غیر ملکی چیزوں سے|سیاسی ڈراموں سے|کائنات اور وجودِ انسانی کی حقیقتوں سے|MIC-4_U3_T3.2.3|30
49|شاد کے کلام کو پڑھ کر جدید غزل کے ناقدین نے ان کا کیا مقام متعین کیا؟|جدید غزل کا اہم ترین پیش رو اور استاد|ایک عام درمیانہ شاعر|ایک روایتی نقلچی|ایک غیر اہم غزل گو|جدید غزل کا اہم ترین پیش رو اور استاد|MIC-4_U3_T3.2.3|30
50|مجموعی طور پر "شاد عظیم آبادی کی غزل گوئی کی انفرادیت" کا نچوڑ کیا ہے؟|کلاسیکی فکر، سادگیِ زبان، اور فلسفہِ حیات کا لافانی اور پرتاثر نچوڑ|صرف قافیہ پیمائی|صرف لکھنوی رنگ|ایک ابتدائی غیر متوازن کوشش|کلاسیکی فکر، سادگیِ زبان، اور فلسفہِ حیات کا لافانی اور پرتاثر نچوڑ|MIC-4_U3_T3.2.3|30
